POS	SRR1237780	SRR1237782	SRR1237783
1	33.4	33.5	33.5
10	38.6	38.7	38.6
100	33.7	34.0	34.0
101	32.2	32.6	32.7
11	38.5	38.6	38.6
12	38.6	38.6	38.6
13	38.5	38.6	38.6
14	40.2	40.2	40.2
15	40.2	40.2	40.2
16	40.1	40.2	40.2
17	40.1	40.2	40.2
18	40.1	40.2	40.2
19	40.1	40.2	40.2
2	33.5	33.6	33.6
20	40.1	40.2	40.2
21	40.1	40.2	40.1
22	40.0	40.1	40.1
23	40.0	40.1	40.1
24	40.0	40.1	40.1
25	39.9	40.0	40.1
26	39.9	40.0	40.0
27	39.8	39.9	39.9
28	39.7	39.9	39.9
29	39.6	39.8	39.8
3	33.6	33.7	33.7
30	39.6	39.8	39.8
31	39.5	39.7	39.8
32	39.4	39.7	39.7
33	39.3	39.6	39.6
34	39.2	39.5	39.5
35	39.1	39.4	39.5
36	38.9	39.3	39.4
37	39.0	39.3	39.4
38	38.8	39.3	39.4
39	38.7	39.2	39.3
4	36.7	36.8	36.8
40	38.6	39.1	39.3
41	38.4	39.0	39.2
42	38.3	38.9	39.0
43	38.2	38.9	39.1
44	38.1	38.8	39.0
45	38.0	38.8	38.9
46	37.8	38.7	38.8
47	37.7	38.6	38.7
48	37.5	38.4	38.6
49	37.3	38.3	38.5
5	36.7	36.8	36.8
50	37.2	38.2	38.4
51	37.0	38.1	38.3
52	36.8	37.9	38.1
53	36.7	37.8	38.0
54	36.5	37.7	37.9
55	36.4	37.5	37.8
56	36.2	37.4	37.6
57	36.1	37.3	37.5
58	36.0	37.1	37.3
59	35.9	37.0	37.2
6	36.7	36.8	36.8
60	35.7	36.9	37.1
61	35.6	36.8	36.9
62	35.5	36.6	36.8
63	35.4	36.5	36.7
64	35.3	36.4	36.5
65	35.2	36.2	36.4
66	35.1	36.1	36.2
67	35.0	36.0	36.1
68	35.0	35.9	36.0
69	34.9	35.8	35.9
7	36.7	36.8	36.8
70	34.7	35.6	35.7
71	34.7	35.5	35.6
72	34.6	35.4	35.5
73	34.6	35.3	35.4
74	34.5	35.3	35.3
75	34.4	35.2	35.2
76	34.2	34.8	34.9
77	34.3	34.9	35.0
78	34.3	34.9	35.0
79	34.3	34.9	34.9
8	36.7	36.8	36.8
80	34.3	34.8	34.8
81	34.2	34.7	34.7
82	34.2	34.7	34.7
83	34.2	34.6	34.6
84	34.1	34.6	34.6
85	34.1	34.5	34.5
86	34.0	34.4	34.5
87	34.0	34.4	34.4
88	34.0	34.4	34.4
89	34.0	34.3	34.3
9	38.6	38.7	38.6
90	34.0	34.3	34.3
91	33.9	34.2	34.3
92	33.9	34.2	34.2
93	33.8	34.1	34.1
94	33.8	34.2	34.2
95	33.7	34.1	34.1
96	33.8	34.1	34.1
97	33.7	34.0	34.1
98	33.8	34.1	34.1
99	33.7	34.0	34.0
